同業比較-自動化設備-營收分析-東元(1504)
="股票名稱",="財報幣別",="財報截止月",="股本(百萬)",="期營收(百萬)",="年增率(%)",="期增率(%)",="累計期營收(億)",="年增率(%)",="去年總營收(億)",="前年總營收(億)"
="東元(1504)",="台幣",="2024/10",21387.96,4243.66,-9.02,-2.86,459.76,-7.48,594.31,582.09
="所羅門(2359)",="台幣",="2024/10",1714.71,312.05,-3.33,-6.71,28.16,-18.89,41.89,52.32
="盟立(2464)",="台幣",="2024/10",2045.31,762.81,20.42,-4.18,61.23,-17.06,88.13,107.69
="陽程(3498)",="台幣",="2024/10",628.73,32.96,42.41,-84.17,6.52,-43.21,11.95,17.30
="銘鈺(4545)",="台幣",="2024/10",770.00,186.60,38.32,-11.43,20.19,13.64,20.75,22.75
="桓達(4549)",="台幣",="2024/10",558.85,93.67,-17.22,2.10,10.47,-7.85,13.72,14.35
="廣運(6125)",="台幣",="2024/10",2590.11,212.82,-41.32,-7.62,22.65,-54.21,55.54,53.54
="和椿(6215)",="台幣",="2024/10",827.89,130.07,55.12,-17.03,12.34,50.06,9.84,18.01
="羅昇(8374)",="台幣",="2024/10",892.50,411.22,79.98,18.24,28.76,10.44,30.52,37.56
