同業比較-電子通路-營收分析-大同(2371)
="股票名稱",="財報幣別",="財報截止月",="股本(百萬)",="期營收(百萬)",="年增率(%)",="期增率(%)",="累計期營收(億)",="年增率(%)",="去年總營收(億)",="前年總營收(億)"
="穩得(6761)",="台幣",="2024/10",302.80,169.01,13.37,6.13,16.84,16.63,17.44,19.23
="展碁國際(6776)",="台幣",="2024/10",815.81,2532.50,22.66,6.93,206.51,9.49,227.91,232.82
="汎瑋材料(6967)",="台幣",="2024/10",249.04,92.08,-8.12,-21.26,11.28,1.21,13.34,13.42
="光菱(8032)",="台幣",="2024/10",518.10,221.00,25.43,-17.69,23.65,1.79,26.95,40.96
="蜜望實(8043)",="台幣",="2024/10",799.07,403.36,-4.75,-6.54,38.26,-7.42,48.86,58.47
="志旭(8067)",="台幣",="2024/10",207.00,8.93,30.77,-18.29,0.90,1.96,1.06,1.45
="全達(8068)",="台幣",="2024/10",807.66,49.33,2.93,-12.52,6.07,4.69,7.03,10.17
="長華*(8070)",="台幣",="2024/10",7032.86,1510.19,9.81,0.02,142.50,4.05,164.90,218.59
="能率網通(8071)",="台幣",="2024/10",518.54,177.56,0.49,4.96,16.65,-6.51,21.20,25.49
="陞泰(8072)",="台幣",="2024/10",800.00,76.47,-38.84,-20.55,7.79,-22.51,11.62,12.45
="巨虹(8084)",="台幣",="2024/10",695.14,53.66,26.68,11.37,4.63,-25.78,8.88,11.59
="翔名(8091)",="台幣",="2024/10",527.60,158.64,9.81,-9.24,16.74,12.71,18.05,19.96
="擎亞(8096)",="台幣",="2024/10",1493.43,1591.35,-7.77,-33.83,230.52,29.24,224.42,233.56
="至上(8112)",="台幣",="2024/10",5234.13,16031.41,14.33,-34.80,2023.74,72.98,1521.45,1740.75
="大拓-KY(8455)",="台幣",="2024/10",252.19,96.92,-19.55,-27.96,10.49,-17.23,14.72,14.53
